"AccountSkuId","ServiceName","TargetClass","ServiceType"
"tenantName:WINDOWS_STORE","EXCHANGE_S_FOUNDATION","Tenant","Exchange"
"tenantName:WINDOWS_STORE","WINDOWS_STORE","Tenant","UniversalStoreService"
"tenantName:ENTERPRISEPACK","MIP_S_CLP1","User","Exchange"
"tenantName:ENTERPRISEPACK","MYANALYTICS_P2","User","Exchange"
"tenantName:ENTERPRISEPACK","BPOS_S_TODO_2","User","To-Do"
"tenantName:ENTERPRISEPACK","FORMS_PLAN_E3","User","OfficeForms"
"tenantName:ENTERPRISEPACK","STREAM_O365_E3","User","Microsoftstream"
"tenantName:ENTERPRISEPACK","Deskless","User","Deskless"
"tenantName:ENTERPRISEPACK","FLOW_O365_P2","User","ProcessSimple"
"tenantName:ENTERPRISEPACK","POWERAPPS_O365_P2","User","PowerAppsService"
"tenantName:ENTERPRISEPACK","TEAMS1","User","TeamspaceAPI"
"tenantName:ENTERPRISEPACK","PROJECTWORKMANAGEMENT","User","ProjectWorkManagement"
"tenantName:ENTERPRISEPACK","SWAY","User","Sway"
"tenantName:ENTERPRISEPACK","INTUNE_O365","Tenant","SCO"
"tenantName:ENTERPRISEPACK","YAMMER_ENTERPRISE","User","YammerEnterprise"
"tenantName:ENTERPRISEPACK","RMS_S_ENTERPRISE","User","RMSOnline"
"tenantName:ENTERPRISEPACK","OFFICESUBSCRIPTION","User","MicrosoftOffice"
"tenantName:ENTERPRISEPACK","MCOSTANDARD","User","MicrosoftCommunicationsOnline"
"tenantName:ENTERPRISEPACK","SHAREPOINTWAC","User","SharePoint"
"tenantName:ENTERPRISEPACK","SHAREPOINTENTERPRISE","User","SharePoint"
"tenantName:ENTERPRISEPACK","EXCHANGE_S_ENTERPRISE","User","Exchange"
"tenantName:FLOW_FREE","EXCHANGE_S_FOUNDATION","Tenant","Exchange"
"tenantName:FLOW_FREE","DYN365_CDS_VIRAL","User","CRM"
"tenantName:FLOW_FREE","FLOW_P2_VIRAL","User","ProcessSimple"
"tenantName:FORMS_PRO","FORMS_PRO","User","MicrosoftFormsProTest"
"tenantName:FORMS_PRO","FORMS_PLAN_E5","User","OfficeForms"
"tenantName:FORMS_PRO","FLOW_FORMS_PRO","User","ProcessSimple"
"tenantName:FORMS_PRO","EXCHANGE_S_FOUNDATION","Tenant","Exchange"
"tenantName:FORMS_PRO","DYN365_CDS_FORMS_PRO","User","CRM"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","MIP_S_CLP2","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","MIP_S_CLP1","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","MYANALYTICS_P2","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","PAM_ENTERPRISE","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","BPOS_S_TODO_3","User","To-Do"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","FORMS_PLAN_E5","User","OfficeForms"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","STREAM_O365_E5","User","MicrosoftStream"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","THREAT_INTELLIGENCE","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","Deskless","User","Deskless"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","FLOW_O365_P3","User","ProcessSimple"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","POWERAPPS_O365_P3","User","PowerAppsService"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","TEAMS1","User","TeamspaceAPI"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","ADALLOM_S_O365","User","Adallom"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","EQUIVIO_ANALYTICS","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","LOCKBOX_ENTERPRISE","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","EXCHANGE_ANALYTICS","User","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","SWAY","User","Sway"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","ATP_ENTERPRISE","Tenant","Exchange"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","MCOEV","User","MicrosoftCommunicationsOnline"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","BI_AZURE_P2","User","PowerBI"
"tenantName:ENTERPRISEPREMIUM_NOPSTNCONF","INTUNE_O365","Tenant","SCO"
